,0
0,98.21575912088156
1,96.95229267597199
2,97.08424474652855
3,96.64661676675081
4,96.3217214621231
5,96.25338785493746
6,96.89740492999555
7,97.78329051891342
8,96.76093009557574
9,96.9696653435193
10,96.09014506263658
11,97.54640179658308
12,100.03580115079879
13,98.69656824275852
14,96.81654861867428
15,97.74709197362886
16,96.73652047008275
17,98.79607302283868
18,99.57482282832265
19,99.17595951966942
20,100.18804961815476
21,100.17763666145504
22,100.85682418942451
23,100.60679124377668
24,102.27402649015188
25,102.02257793247699
26,102.90493246279657
27,105.60162028178573
28,103.39015518546104
29,103.69432279024274
30,104.47255230814218
31,106.08556580325589
32,106.51294718479737
33,107.52780161499976
34,108.09931647956371
35,108.79446855805814
36,107.04700540900231
37,106.0829465002194
38,104.62432871596887
39,102.5681751236692
40,100.65648472495377
41,99.71351819057017
42,97.00884299352765
43,97.01378147765995
44,97.9664209401235
45,98.01239963956178
46,97.89347772717477
47,100.3803811161965
48,100.19947563992814
49,100.4047592734918
