,0
0,82.48341855406761
1,81.74604946374893
2,81.95215685740112
3,83.00439960479736
4,84.16597896128893
5,83.30690589398147
6,82.96817569971084
7,84.3025911900401
8,84.80537953376769
9,84.4171940201521
10,83.59690724730493
11,85.62344990223647
12,85.07541390180587
13,83.75976524904371
14,82.2533887937665
15,85.40074624121189
16,86.95096028089523
17,88.90128807544708
18,89.85284080445767
19,89.52050227761268
20,90.55607574582099
21,91.04287777021528
22,90.72009526520968
23,87.25578342080117
24,89.19787939369678
25,89.90660458087922
26,90.73479633122682
27,93.20880218148231
28,94.49292183101177
29,94.78351818025112
30,94.20694840848445
31,95.13899044290184
32,96.02532481253147
33,97.7247550432384
34,98.49635301947593
35,98.57543651819229
36,98.0190028358996
37,98.2881591796875
38,97.94459625005722
39,99.00701764672995
40,99.42106207311153
41,98.83412841796876
42,96.39642058864237
43,96.49183947324754
44,97.89518010824919
45,99.10752237141132
46,101.45210852622985
47,102.95076581001281
48,103.34429922029375
49,102.68926038146019
