,0
0,47.600091764442624
1,46.9803407782875
2,46.43981272265315
3,46.442066081333905
4,46.42413210387341
5,46.430134314452296
6,46.308258110216116
7,46.44366517320624
8,45.68044357441831
9,45.554769698064774
10,45.495564076900486
11,46.01547882758081
12,45.8645935090445
13,45.112897253707054
14,44.046432730704545
15,44.0542911061272
16,44.255874794069676
17,44.80745271742344
18,45.15638679690659
19,44.898559502037244
20,45.59858596757054
21,45.238066059090194
22,45.61757798857987
23,45.97889558142051
24,45.76087987091392
25,45.179738816916945
26,45.71103538569063
27,46.8626566035673
28,47.10944117076695
29,46.97271163113415
30,47.22967207431793
31,47.90979103133082
32,48.32425743430853
33,48.58125602345913
34,48.54298316434026
35,48.888408884257075
36,49.07629949551075
37,49.067282976731654
38,48.96960257321596
39,48.9505597133562
40,49.37429302200675
41,49.70938347293064
42,48.59769996430725
43,47.95833675004542
44,48.24403052341193
45,48.09663927571848
46,48.58891729425638
47,48.92369676494971
48,48.20537194624543
49,48.5647059278097
