,0
0,141.76603773012758
1,140.5254896689579
2,140.98366172656418
3,140.98463407188655
4,142.1495344554633
5,142.73371040124445
6,143.91166096784173
7,143.30569292943923
8,143.4215067035705
9,141.25494052559137
10,140.19703611642123
11,137.09905569743364
12,137.731478885822
13,131.3629871633649
14,129.8221296823211
15,136.16909692052752
16,133.61697925962505
17,138.21723962072284
18,139.1237889963202
19,136.2517695052363
20,137.24472163885832
21,138.01937752336264
22,136.75602775111795
23,132.20355114841834
24,138.60812757711858
25,136.10654548227788
26,132.9763698961772
27,131.66342904075978
28,136.96691532754338
29,140.19415147914086
30,139.4183989489125
31,139.71330356604886
32,140.98504762422058
33,145.27623036873993
34,146.0301313515566
35,145.02896870860832
36,141.08900110255928
37,141.39705641262233
38,141.47776238038205
39,144.18579109713434
40,142.82508534044027
41,137.6227943368256
42,136.52573497932406
43,137.93171559561043
44,136.67425737747922
45,140.17877884019165
46,140.50043846063315
47,146.528632299304
48,144.5393409717828
49,146.5754041073926
