,0
0,77.63541647359729
1,78.8162580475211
2,78.65933636575937
3,77.96547013416887
4,77.92466064713895
5,77.21052426338196
6,77.89132337667048
7,78.44161398544907
8,78.11970202699304
9,77.56288457497955
10,77.30691256925464
11,77.98554293878377
12,78.29425334468485
13,76.4602720078826
14,73.7881475329399
15,73.55971466854214
16,73.0250337588787
17,73.34041236042977
18,73.58386426791549
19,73.87274274379014
20,73.95434218235314
21,73.1885236222297
22,71.98189842581749
23,69.95635780572891
24,70.55437292970717
25,69.82839340552688
26,69.37338406555354
27,70.90820166751743
28,71.69558393239976
29,72.5637929470092
30,73.69261559024453
31,73.39176241964101
32,73.68458700500429
33,74.59752173438669
34,73.39058249242603
35,72.61567592054605
36,71.66199122987688
37,70.00018586218357
38,69.43417851768434
39,70.13348689302802
40,70.80583478629589
41,71.02092645853757
42,68.98655905522406
43,69.49829493403435
44,67.62712333001195
45,68.94556773126126
46,68.99216610714792
47,70.2296510182321
48,70.75978527620435
49,70.9365014858544
