,0
0,92.5355222825706
1,90.73300624854862
2,89.31633798897266
3,89.26980443641544
4,88.64842521071434
5,88.86510930396616
6,89.17150908149779
7,89.75676371723414
8,88.20437404222787
9,86.89610382080079
10,87.01390522606671
11,87.15333631038666
12,86.81670714989305
13,85.88954231679439
14,83.05798650685698
15,83.13618895716965
16,84.13762095540761
17,84.93659165296704
18,85.70170170836151
19,83.88251586616039
20,91.1296111665666
21,90.26728754043579
22,90.71915267437696
23,92.97864260114729
24,92.3675943389535
25,91.05394213370978
26,91.31751906514167
27,92.16979351524263
28,91.51339708685876
29,92.3225225649774
30,92.4197053433396
31,93.7193019926548
32,93.9073360004276
33,93.55204781765119
34,93.49485870778561
35,94.4396681591682
36,94.60657643191517
37,95.2625080563128
38,95.15359449321403
39,95.37050135364755
40,95.23183158550411
41,94.56666506061332
42,93.2353827925399
43,92.41338492466136
44,92.42167745241896
45,92.70239591775461
46,93.36520883068442
47,93.53366730858572
48,93.21977297063916
49,93.63904438326135
