,0
0,194.94823574692012
1,191.99363096505405
2,191.16025630384684
3,187.90843930125237
4,186.76195414602756
5,183.6594580078125
6,184.25789093121887
7,184.5020133063197
8,185.47781244695187
9,184.77240694344042
10,182.8483714951575
11,182.0520002618432
12,179.5691118773818
13,172.60678689792752
14,170.56129052728414
15,170.77143475055695
16,171.33096353888513
17,175.95149501413107
18,180.61575102686882
19,177.42728627324104
20,178.45046105742455
21,173.68396252393723
22,170.75356945037842
23,162.8980496147275
24,166.11697531595826
25,164.29495111346245
26,165.39333798348903
27,168.5220976114273
28,172.6188725450635
29,173.25355070725084
30,174.72874308481812
31,173.3893028819561
32,172.39164188206195
33,174.1036489021778
34,173.76317488998174
35,166.41399485170842
36,153.45036904364824
37,152.14894218742847
38,149.69632147550584
39,150.06132775187493
40,148.31074551463126
41,144.89969552636146
42,139.33752087593078
43,139.71595478653907
44,136.64490793347358
45,139.88196953058244
46,138.83536475747823
47,141.6389336913824
48,138.5809955969453
49,134.01787097318172
