,0
0,109.99441731646657
1,108.95725724875926
2,108.6603773459047
3,107.41221087276935
4,107.00964836806058
5,105.53849871307612
6,106.28515506908298
7,106.87672533687204
8,108.045969440341
9,108.43374419856816
10,107.99346498072148
11,108.82237612456083
12,108.23113678798079
13,105.50286928024143
14,102.48627856653184
15,101.50608352459967
16,101.06005792267621
17,103.35842311926187
18,104.63892303038388
19,103.10445521827788
20,103.05223680473864
21,101.68633316218853
22,100.73494166135788
23,98.963636813052
24,100.5709213642776
25,99.28844630755485
26,100.75840985812246
27,102.63208068907261
28,104.95869623310864
29,105.01241980411113
30,104.52326649107039
31,105.2950013185665
32,105.87203277349471
33,107.77184348970653
34,108.72384378522634
35,107.74805163405836
36,105.55736015336588
37,106.25050012204797
38,104.12879697538912
39,106.85619292890652
40,106.84553102625533
41,107.72706687597558
42,105.476007166598
43,104.74824820227921
44,103.84252968421207
45,106.44125267922878
46,106.9453852351755
47,108.18944629658013
48,107.38418860513717
49,107.7479021160677
