,0
0,128.44634157985448
1,127.09795694053174
2,125.72674151170997
3,124.03865221329033
4,123.64394801795483
5,124.13988704424352
6,123.34066881045699
7,123.75432889994234
8,123.67600703336298
9,124.76111915685236
10,124.02525520481169
11,125.37794108793139
12,125.20759803835303
13,121.85367271151392
14,118.08778786879033
15,117.36542566698046
16,117.02333273570984
17,118.21653012279421
18,119.71974625885487
19,118.39105022154749
20,119.17173099029809
21,117.18300240363925
22,116.82959519922733
23,114.61867155522108
24,114.2195869962871
25,114.16879463218153
26,115.03909817755222
27,118.27506675861777
28,117.47722842782736
29,117.43987339138985
30,117.05516174212099
31,118.47771112926304
32,120.30863286405801
33,121.77108202546835
34,122.32428022652866
35,122.25065980896353
36,118.41986353874208
37,118.09709662288428
38,114.48049894809724
39,116.74482691042125
40,119.58919885940851
41,121.100791143775
42,118.99361595176161
43,118.31593173384667
44,117.13001349717378
45,120.4748138409853
46,119.68487719893457
47,120.57450388595461
48,120.39265667900443
49,119.05026019737126
