,0
0,107.86100597828627
1,107.00619054883718
2,107.21426609035582
3,105.56743928791956
4,105.54165453510359
5,104.29944866402074
6,105.73626831639558
7,106.24887120723724
8,106.3268486640416
9,105.64451905839145
10,105.15798784574494
11,104.93864226726815
12,104.63431335166096
13,101.62486602814867
14,99.69601802956312
15,101.11523366160691
16,100.76830039419234
17,102.4151494483091
18,102.51013251163066
19,101.06155372224748
20,104.90935513213277
21,102.75067553224042
22,102.64520236972719
23,100.16810121104122
24,101.91916420608759
25,99.6257298043929
26,99.5841519011557
27,100.47661278665066
28,101.13218286578544
29,102.4369112772122
30,102.12619672070257
31,103.61692112476564
32,103.40320491664112
33,105.71059460867197
34,106.89466815721244
35,106.68906229209155
36,104.93572736627422
37,106.29561718542129
38,106.21625028886832
39,108.02885379120707
40,107.8993123804219
41,106.71451395261101
42,104.59252501176671
43,105.00373209407553
44,104.26095010627061
45,108.15228800229728
46,108.58245579627342
47,111.32986461656168
48,109.77731664872728
49,109.47690920345485
