,0
0,121.952338886261
1,119.73771625310182
2,119.45547729358077
3,120.06370985984802
4,120.97574879407884
5,121.7312068246305
6,123.08716141641139
7,123.68668189644812
8,123.24400306910277
9,122.48710599407552
10,121.0382421079278
11,121.16618975266815
12,117.6042011642456
13,113.15175622582436
14,111.31622174039484
15,111.21813526377082
16,111.49832069620491
17,113.03900720939039
18,110.63858917057513
19,109.35889701336622
20,108.81700361073018
21,106.56901109218597
22,109.28703299045564
23,102.28617437794804
24,103.90865789651872
25,102.59924107193947
26,100.48592699721456
27,101.41429808050394
28,102.37789153039455
29,104.78860779613257
30,104.29276738911868
31,103.76714802533388
32,103.94307893574238
33,105.66230950951577
34,105.89129247397184
35,104.96790964186192
36,102.61781295835972
37,102.84915719747544
38,102.23495275512336
39,102.45998502656816
40,102.325547503829
41,100.08261317908763
42,98.18309998512268
43,97.49898088425397
44,99.6031934082508
45,98.30211798101664
46,93.75989867925644
47,93.31831193223596
48,91.67257955074311
49,91.05391619563103
