,0
0,44.01253350820392
1,43.92059291210433
2,43.816317506103076
3,43.73495321452618
4,43.97657000735635
5,44.16184149167966
6,44.37236413075123
7,44.328908542748536
8,44.92484371923842
9,44.81765219089576
10,45.030542954849075
11,45.40346258994192
12,45.59573317217873
13,44.63476464592386
14,42.931615544131496
15,43.906091213161126
16,43.245951507333665
17,44.060085882612036
18,44.70377302227309
19,44.133851170539856
20,44.63720053329598
21,44.50862248102203
22,44.23958542796318
23,42.61619219396263
24,43.55095755797345
25,42.74010814237408
26,43.37398866148665
27,43.0346062090341
28,43.20693942378276
29,43.82081025191816
30,43.07998050043127
31,43.67377466797829
32,43.163675619761925
33,44.560387511830776
34,44.010116170987025
35,44.44346437512897
36,44.27454896073556
37,43.68402987182141
38,43.07336388993775
39,43.376133895933165
40,43.678942076484674
41,44.35320409710519
42,43.702276653293524
43,43.27216691519134
44,43.31390313385986
45,43.516269108057024
46,44.250781010761855
47,45.085787996975704
48,45.69992265497334
49,45.96954453903488
