,0
0,125.42724160343408
1,123.47874402999878
2,123.54379355281591
3,122.7907736557722
4,122.19663379997014
5,122.16529710486532
6,121.94179106175899
7,123.91714420765638
8,126.5798896703124
9,125.34899827837944
10,122.54817159220576
11,122.53373987600207
12,119.38315464913846
13,114.75997261226178
14,112.52833477109671
15,113.37174679934978
16,113.12281311154366
17,114.61353674322368
18,112.69162405401468
19,108.24455811381341
20,104.64501447200774
21,102.5374611184001
22,94.76067649662495
23,89.44861750543117
24,92.04392885431648
25,91.55833299010992
26,90.68336405515672
27,93.42811557680368
28,96.47381467580794
29,99.1365615427494
30,99.97806237101555
31,100.44588265523315
32,102.74081085965038
33,107.29833492785691
34,104.32654585957526
35,100.7451326456666
36,99.20528344810009
37,99.94355297505855
38,99.23792871683835
39,102.64103099048137
40,103.04558752477169
41,99.86708585739136
42,96.90421912536024
43,98.15032633915544
44,96.90063892841339
45,98.84356141090393
46,98.66368756592273
47,103.5270515343547
48,103.07754012688994
49,104.67800294935704
