,0
0,270.41271506435237
1,271.71595466583966
2,268.8919903261587
3,269.4889708591253
4,272.38585172975434
5,274.7454064781964
6,278.6575193490833
7,280.85577702730893
8,281.66213779002425
9,279.4578054893017
10,280.84128794968126
11,281.11404848668724
12,282.74809774920345
13,275.8736654435098
14,270.10775870203975
15,273.2197333772853
16,274.3954222127795
17,287.9133757071197
18,282.8652717288584
19,282.86336392983793
20,281.77458166293803
21,278.9752925567329
22,282.32255170539025
23,273.7067957782745
24,282.66340539872647
25,276.66587588712576
26,275.3660074597597
27,277.7346458807587
28,281.51798797510565
29,281.54395113646984
30,282.1058982055634
31,282.57872090429066
32,285.79236341997984
33,298.31039612866937
34,300.9969992984086
35,301.3775780428201
36,297.3126447802782
37,294.33471171408894
38,290.1386578559875
39,290.5756608013809
40,297.80979176424444
41,292.7075452689082
42,288.1476868391037
43,287.5431379772723
44,289.165908241421
45,294.63139822304254
46,300.6089441552758
47,311.94158282876015
48,314.1865740440786
49,311.8354900722205
