,0
0,72.47553077638149
1,71.13823638528585
2,71.37745424255729
3,70.28637213259935
4,70.82262812554836
5,70.80134143710136
6,70.4067621192336
7,68.81823714137077
8,68.40940564870834
9,66.30236337691547
10,66.0662198472023
11,65.96720774739981
12,65.93054768115282
13,61.255624974668024
14,60.720358201563364
15,61.671250936388965
16,60.733278026580805
17,62.54997933328152
18,61.542210531234744
19,60.63276144862174
20,59.31711679950356
21,59.66261888593436
22,58.22287759780883
23,57.04159454584122
24,57.605545155704014
25,56.582241704463954
26,56.46097848430276
27,58.049404280185705
28,58.23086392641068
29,59.34809832677246
30,58.941711615025994
31,59.42170996338129
32,58.4337205389142
33,59.241040336489675
34,58.83190219193697
35,57.493570981621744
36,56.28064873218536
37,56.08659076690674
38,55.81310510635376
39,54.89255651026964
40,54.91436877429485
41,53.00606026411056
42,51.706406035423285
43,52.32923987716437
44,51.40571684986352
45,51.98596222400665
46,51.24326011061669
47,52.7547857016325
48,52.209465880393985
49,51.84303573131562
