,0
0,59.749625460505484
1,58.8653930722177
2,58.37385405674576
3,58.49454664096236
4,58.993881566226484
5,58.766400363892316
6,59.24769296944142
7,59.86822755038738
8,59.70591516852379
9,60.48861079663038
10,60.38050533205271
11,60.44839616104961
12,60.395616697221996
13,59.65132053181529
14,58.53443732008338
15,58.95446986377239
16,58.79292674660683
17,58.8837321035564
18,59.14990091055632
19,59.88712176643312
20,60.14188485816121
21,60.210331594049926
22,62.632543565779926
23,62.84248459070921
24,61.73939904503524
25,60.713596806973214
26,61.7550263106823
27,63.59376318141818
28,62.382723060250285
29,61.22708479017019
30,61.8412835931778
31,62.455136708915234
32,62.43567423820496
33,62.896299368515606
34,63.552986030578616
35,63.740449031293394
36,64.00412996292114
37,63.9189776879549
38,64.20428741395473
39,64.33699411034584
40,65.54739642284811
41,65.97350415468216
42,64.69124618455768
43,64.34518056124449
44,63.760140275359156
45,64.3168257110566
46,65.90555244646966
47,65.24462876915932
48,64.56240783520043
49,64.90114337190985
